0000272307;20;Офисный ПК Kraftway credo KC43;11514195;29071418;1;В эксплуатации;2;Персональный компьютер;3;Операционный отдел;НБ_Б106
0000271505;20;Офисный ПК Kraftway credo KC43;11514196;29071419;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_В217
0000272443;20;Офисный ПК Kraftway credo KC43;11514198;29071420;2;Хранение исправного;2;Персональный компьютер;5;Отдел информатизации;НБ_Б206
0000270574;20;Офисный ПК Kraftway credo KC43;11514200;29071421;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_А103
0000272571;20;Офисный ПК Kraftway credo KC43;11514201;29071422;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000272444;20;Офисный ПК Kraftway credo KC43;11514202;29071423;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_В317
0000272373;20;Офисный ПК Kraftway credo KC43;11514203;29071424;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000271673;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B8GP;8596110198079590;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000272631;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B8GT;8596110198079587;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б402
0000270913;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B8H8;8596110198079585;2;Хранение исправного;2;Персональный компьютер;5;Отдел информатизации;НБ_Б402
0000272141;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B8HR;8596110198079589;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б402
0000271322;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B941;8596110198079588;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б206
0000271088;21;Офисный ПК Стандарт HP 800 G3 SFF.;CZC928B943;8596110198079584;2;Хранение исправного;2;Персональный компьютер;5;Отдел информатизации;НБ_Б206
